@relation DatasetLimpioFormateado

@attribute Mes numeric
@attribute Dia numeric
@attribute Year numeric
@attribute Hora numeric
@attribute Impresiones numeric
@attribute Alcance numeric
@attribute Reacciones numeric

@data
9,26,2022,789,1685,1595,7
4,26,2022,1024,82,77,3
1,20,2022,781,50,44,22
3,22,2022,843,75,69,5
3,2,2023,843,1715,1528,6
9,26,2022,789,3511,3397,24
5,17,2023,725,2091,1702,4
5,4,2023,905,10620,6594,177
6,22,2023,666,3771,2827,4
9,30,2022,969,1393,1202,11
1,11,2022,781,151,122,13
2,8,2023,542,1882,1646,6
1,13,2023,901,10951,7620,98
8,3,2023,608,12277,10712,263
11,16,2023,791,2292,1990,8
11,14,2023,491,2776,2497,15
6,11,2023,1026,7844,6512,43
12,6,2023,492,6065,4704,38
9,20,2023,909,6397,6025,105
9,22,2023,549,5059,4664,11
4,4,2022,964,63,60,0
4,28,2023,544,10657,8287,150
4,25,2023,364,3102,2888,3
1,25,2023,901,5421,4806,14
4,17,2023,844,8082,4806,21
4,22,2022,724,93,87,2
9,2,2023,909,4483,4120,105
5,11,2022,845,253,230,1
9,22,2022,849,1120,948,17
9,30,2022,969,2972,2616,46
4,4,2022,964,60,56,4
5,2,2023,545,3922,3538,30
5,3,2022,1025,1027,837,52
4,24,2023,1204,4839,3466,15
10,6,2023,1030,3163,2700,7
10,6,2023,610,11282,7976,94
9,11,2023,969,1918,1702,3
9,28,2022,909,2354,2196,5
5,15,2023,665,4627,3927,119
1,17,2023,541,2196,1823,0
1,3,2022,601,28,27,5
1,19,2023,601,6475,5518,120
8,2,2023,548,4287,3913,10
11,16,2023,1091,5863,5127,122
5,30,2023,545,3061,2385,3
10,24,2022,610,2323,2264,10
8,23,2023,908,2901,2630,6
1,21,2022,1321,27,26,4
6,7,2023,546,12645,8146,217
8,24,2023,488,1785,1505,2
9,19,2022,969,2281,1972,6
4,18,2023,604,1544,1309,2
5,23,2023,785,3125,2559,22
10,31,2023,610,2187,1951,0
4,17,2023,544,3275,2967,12
4,30,2022,844,111,105,0
11,16,2023,1091,3451,2925,49
3,2,2022,603,72,69,22
9,21,2022,489,1375,1243,2
9,29,2023,669,1594,1335,3
6,23,2023,726,5329,4196,117
3,3,2023,1083,10710,7077,72
5,11,2023,665,3166,2319,6
8,15,2023,728,6691,4505,22
9,20,2023,969,2415,2187,3
8,11,2022,488,2853,2187,0
9,29,2022,489,1538,1428,3
10,24,2023,1210,2957,2487,25
3,30,2023,1023,2972,2776,16
5,11,2022,605,836,645,204
7,14,2023,607,4472,3255,11
9,24,2022,1209,13176,11205,437
8,23,2023,1208,6747,4569,76
2,24,2023,1022,2719,2382,11
4,10,2023,904,2584,1969,4
12,7,2022,912,7435,6267,287
10,5,2023,670,2045,1825,7
3,28,2022,1143,90,81,3
6,7,2023,546,2489,1855,5
1,11,2022,1021,142,121,67
10,27,2023,970,2225,1953,17
5,3,2022,785,136,123,1
4,7,2022,544,59,56,2
5,11,2022,905,289,258,2
1,19,2023,901,7825,6677,157
10,5,2023,610,1845,1657,7
6,27,2023,786,6984,6082,67
2,17,2023,962,10095,8531,294
9,8,2023,669,2074,1784,1
3,13,2023,1023,2281,2046,5
5,22,2023,545,1786,1514,0
3,9,2023,1023,8580,7580,147
9,5,2023,1089,1267,1117,5
2,13,2023,1322,10092,9178,420
9,11,2023,549,1403,1249,0
3,18,2022,903,791,639,0
2,23,2023,842,2171,1865,4
2,7,2023,542,1795,1591,4
11,8,2023,611,2102,1830,2
4,8,2022,544,64,60,11
4,26,2022,1024,89,84,0
4,18,2023,604,2439,2210,11
11,10,2023,731,2231,2027,0
11,21,2023,971,2808,2405,10
5,30,2022,1025,2377,1675,2
5,29,2023,605,2164,1728,0
3,9,2023,1023,4006,3612,14
1,14,2022,721,17,17,9
3,7,2023,543,2702,2376,24
12,2,2022,552,8445,6421,56
10,2,2023,1030,2675,2421,49
5,24,2022,725,1249,959,70
4,22,2023,724,6278,5653,30
5,31,2022,1025,2670,1813,1
6,19,2023,846,3788,2912,1
1,24,2022,901,50,46,6
4,11,2023,724,2160,2038,3
9,29,2023,849,6824,6525,219
8,16,2023,548,1807,1556,0
3,7,2023,963,4786,4307,11
9,16,2023,969,10928,9433,145
2,18,2023,602,11889,10075,149
11,7,2023,671,8932,7571,214
3,5,2022,363,36,36,0
10,23,2023,850,2479,2234,20
4,17,2023,484,6552,5810,58
5,2,2022,905,144,133,0
5,23,2023,1025,14414,10185,87
1,26,2023,961,11199,7749,144
10,7,2022,310,13017,11187,258
3,10,2023,1263,13366,11280,363
5,23,2023,485,4291,3466,91
10,17,2022,910,3389,3140,17
1,26,2022,901,31,29,2
5,11,2023,665,3387,2641,9
9,13,2023,1149,9032,8160,364
11,21,2023,1031,4805,3934,27
3,30,2022,903,79,73,26
5,31,2022,1085,2955,1938,0
2,3,2023,1022,7455,5921,33
6,9,2022,966,4414,2545,2
2,17,2023,782,2612,2240,8
9,26,2022,789,1688,1571,7
3,14,2023,1023,3538,3221,9
5,3,2022,1025,166,152,5
6,29,2022,786,6606,4243,3
2,28,2023,542,1578,1394,2
5,9,2023,545,2319,1765,2
11,18,2022,491,19064,15991,1063
5,2,2023,545,1779,1565,1
4,25,2023,844,4335,3201,31
4,8,2022,904,66,63,0
6,8,2023,726,9873,6400,171
9,19,2023,549,1447,1258,4
3,11,2022,1083,45,45,4
4,4,2022,904,157,133,18
2,21,2022,482,51,49,14
4,8,2022,964,67,64,1
10,20,2023,610,4575,4219,42
3,15,2022,963,67,62,3
10,30,2023,550,2976,2700,3
3,7,2023,1203,7368,6626,125
5,30,2022,785,1611,1245,4
3,3,2023,1023,3207,2967,10
5,2,2023,545,3372,3058,3
3,31,2023,1203,9144,8073,182
9,27,2023,489,6266,5489,214
11,16,2023,1091,1590,1330,0
9,4,2023,549,10579,9626,211
5,2,2023,1025,2898,2497,24
10,12,2023,550,2406,2196,21
11,30,2023,1271,15280,11511,111
5,18,2023,545,1474,1178,0
3,16,2022,483,66,62,0
4,18,2023,1084,27794,25041,1157
3,8,2023,483,2185,1938,19
6,18,2023,546,3224,2497,27
3,28,2023,543,2837,2559,1
3,18,2022,903,43,41,0
5,31,2022,1085,4365,2427,3
1,30,2023,1021,4741,4291,34
11,24,2023,971,6106,5433,58
5,9,2023,545,2828,2049,4
5,9,2023,965,7802,5220,42
12,15,2023,1092,3592,3036,12
12,15,2022,672,3125,2350,12
10,20,2023,850,1865,1630,5
12,8,2023,1032,7591,6535,124
3,15,2023,903,4640,4120,23
11,14,2023,1031,6951,6170,97
10,14,2022,550,2659,2518,65
6,30,2022,726,5838,3578,8
1,1,2023,1,4361,3019,32
9,7,2023,1149,2776,2477,18
3,17,2022,843,43,41,1
10,24,2022,610,4611,4399,54
6,21,2023,726,2066,1612,1
3,14,2023,543,12768,11273,274
5,9,2023,905,8762,5321,53
8,17,2023,728,1410,1178,3
5,24,2023,1145,3098,2325,57
2,1,2023,902,6701,5245,50
2,21,2022,602,32,32,1
9,20,2023,909,1575,1388,3
9,6,2023,1029,5815,5554,69
2,1,2022,782,47,44,1
1,30,2023,721,4525,4142,5
6,10,2022,786,5828,3482,38
6,30,2023,1026,12079,8401,180
9,14,2022,669,3237,2681,12
8,3,2023,548,1990,1646,6
4,22,2022,964,79,74,0
3,15,2022,963,62,60,3
