Mes,Dia,Year,Hora,Impresiones,Alcance,Comentarios,Compartidos,Clics,Reacciones
06,07,2023,546,12645,8146,12,20,1963,217
06,06,2023,1086,3618,2637,0,5,71,28
06,06,2023,1026,3986,3090,1,2,158,46
06,06,2023,846,6668,5154,1,10,491,63
06,06,2023,846,3737,2929,0,0,115,34
06,06,2023,546,6842,6188,9,2,576,128
06,04,2023,786,4460,3720,0,2,329,8
06,01,2023,1086,6461,5569,6,3,634,118
05,31,2023,1085,2810,2118,3,8,69,12
05,31,2023,1085,4000,2959,0,4,60,6
05,30,2023,545,3061,2385,0,1,39,3
05,30,2023,485,12527,10359,253,34,1909,709
05,29,2023,605,2658,2110,0,1,21,2
05,29,2023,605,2489,1993,0,0,52,1
05,29,2023,605,2164,1728,0,0,35,0
05,29,2023,545,1916,1547,0,0,30,8
05,29,2023,545,1894,1531,0,1,11,0
05,26,2023,605,6089,4869,0,0,1046,26
05,25,2023,965,5027,4157,0,0,838,16
05,25,2023,965,3803,3168,0,0,465,13
05,25,2023,665,8595,7566,20,2,2468,115
05,24,2023,1205,3207,2480,0,2,244,79
05,24,2023,1145,3098,2325,5,3,248,57
05,24,2023,1025,3244,2580,1,5,67,16
05,24,2023,905,2291,1880,0,1,24,4
05,24,2023,905,3225,2696,0,1,150,7
05,24,2023,725,3627,2976,0,4,121,11
05,24,2023,545,2477,1964,0,2,26,5
05,24,2023,545,2567,2178,0,0,71,3
05,24,2023,485,2352,1988,0,1,44,5
05,24,2023,485,3173,2580,8,3,291,26
05,23,2023,1145,2439,1998,2,3,187,39
05,23,2023,1025,14414,10185,5,9,3236,87
05,23,2023,965,2655,2090,0,6,72,18
05,23,2023,845,3037,2685,0,2,133,16
05,23,2023,785,3125,2559,0,4,100,22
05,23,2023,785,5347,4684,4,3,581,44
05,23,2023,545,4032,2963,0,4,203,11
05,23,2023,485,4291,3466,6,8,473,91
05,22,2023,1025,5481,5126,4,4,519,40
05,22,2023,545,2130,1637,1,1,30,3
05,22,2023,545,1786,1514,0,0,33,0
05,22,2023,545,2781,2464,0,0,64,14
05,19,2023,1025,3570,2929,1,0,291,32
05,19,2023,545,2107,1709,0,0,33,5
05,18,2023,905,2062,1610,0,2,21,0
05,18,2023,905,6951,4541,1,3,760,42
05,18,2023,845,7793,5307,1,8,601,40
05,18,2023,785,11016,8044,18,9,2350,168
05,18,2023,545,2446,2071,0,0,51,3
05,18,2023,545,1474,1178,0,0,10,0
05,18,2023,545,2354,1995,0,0,130,12
05,18,2023,545,1827,1524,0,1,50,5
05,17,2023,725,3204,2811,0,3,107,12
05,17,2023,725,3553,2867,0,7,131,8
05,17,2023,725,2091,1702,0,1,21,4
05,16,2023,1025,2416,2006,0,1,92,0
05,16,2023,725,3443,2700,0,2,127,16
05,15,2023,665,4627,3927,40,5,151,119
05,12,2023,725,5011,3714,0,3,435,23
05,12,2023,545,2575,1892,0,2,44,2
05,12,2023,545,2143,1604,0,0,8,1
05,11,2023,785,2337,1737,0,1,18,3
05,11,2023,725,2775,2167,0,1,54,4
05,11,2023,725,4945,4120,13,1,373,26
05,11,2023,665,3166,2319,0,4,51,6
05,11,2023,665,3387,2641,1,1,143,9
05,11,2023,605,2364,1845,4,2,46,9
05,11,2023,605,1902,1418,0,0,16,0
05,11,2023,605,2185,1673,0,0,21,2
05,11,2023,545,4870,3532,0,3,480,11
05,11,2023,545,7417,5574,4,14,359,46
05,11,2023,545,3384,2656,1,3,79,14
05,10,2023,485,3276,2528,1,3,40,62
05,09,2023,965,7802,5220,0,1,1317,42
05,09,2023,905,8762,5321,1,3,1406,53
05,09,2023,905,3062,2322,0,0,134,1
05,09,2023,545,2828,2049,0,2,52,4
05,09,2023,545,3280,2528,0,1,75,8
05,09,2023,545,2319,1765,0,0,25,2
05,09,2023,545,12746,9741,53,22,5974,67
05,04,2023,905,10620,6594,8,18,1932,177
04,12,2023,664,4221,3776,0,2,873,13
04,12,2023,784,9142,5728,4,3,1877,84
04,12,2023,1024,2607,2474,1,0,98,4
04,12,2023,1024,1316,1187,0,0,36,0
04,13,2023,544,1822,1679,0,0,40,1
04,13,2023,604,2666,2518,9,4,179,75
