Hora de publicación,Impresiones,Alcance,Comentarios,Compartidos,Clics,Reacciones
03/10/2023 12:03,2487,2261,12,0,0,12
03/10/2023 21:03,13366,11280,309,36,18,363
03/13/2023 14:03,2984,2652,10,0,5,15
03/13/2023 14:03,4940,4443,23,0,0,23
03/13/2023 16:03,4751,4299,35,0,6,41
03/13/2023 17:03,2281,2046,5,0,0,5
03/14/2023 09:03,12768,11273,215,48,11,274
03/14/2023 17:03,3538,3221,8,0,1,9
03/15/2023 11:03,2584,2249,26,0,4,30
03/15/2023 14:03,2142,1799,38,2,2,42
03/15/2023 15:03,4640,4120,21,0,2,23
03/16/2023 13:03,8523,5974,119,15,2,136
03/16/2023 19:03,5218,3418,50,3,1,54
03/16/2023 19:03,20507,15974,294,32,12,338
03/17/2023 12:03,11081,6147,81,2,1,84
03/20/2023 19:03,2019,1830,10,0,1,11
03/21/2023 09:03,4133,3854,42,1,2,45
03/23/2023 09:03,3163,2884,26,2,1,29
03/23/2023 11:03,1511,1229,11,0,1,12
03/25/2023 13:03,5378,4946,45,0,0,451
03/26/2023 20:03,6794,4607,33,1,2,36
03/27/2023 09:03,3264,3032,26,0,2,28
03/27/2023 16:03,4103,3555,25,0,1,26
03/28/2023 09:03,2837,2559,0,0,1,1
03/29/2023 16:03,9842,6831,79,11,3,93
03/29/2023 18:03,5345,5038,45,2,1,48
03/30/2023 12:03,3702,3555,12,0,1,13
03/30/2023 15:03,7108,6413,156,8,2,166
03/30/2023 17:03,2972,2776,16,0,0,16
03/31/2023 15:03,2508,2267,57,1,2,60
03/31/2023 19:03,9562,6680,134,0,4,138
03/31/2023 20:03,8384,5432,86,3,7,96
03/31/2023 20:03,9144,8073,161,14,7,182
01/29/2023 15:01,5515,4578,33,0,6,39
01/30/2023 12:01,4525,4142,3,1,1,5
03/03/2023 18:03,10710,7077,65,2,5,72
03/04/2023 19:03,4128,3834,28,1,2,31
03/06/2023 09:03,3126,2847,6,0,1,7
03/06/2023 17:03,5165,4785,60,2,2,64
03/07/2023 09:03,1957,1796,8,0,3,11
03/07/2023 09:03,2702,2376,18,0,6,24
03/07/2023 16:03,4786,4307,10,1,0,11
03/07/2023 20:03,7368,6626,119,1,5,125
03/08/2023 08:03,2185,1938,15,0,4,19
03/08/2023 09:03,4879,4523,24,0,7,31
03/08/2023 14:03,2217,1867,28,0,2,30
03/08/2023 15:03,6831,6100,53,2,3,58
02/27/2023 13:02,3587,3259,77,1,13,91
02/28/2023 09:02,1578,1394,2,0,0,2
02/28/2023 11:02,3882,3324,10,0,1,11
02/28/2023 14:02,2118,1902,11,0,1,12
02/28/2023 17:02,2425,2219,4,0,0,4
03/01/2023 17:03,4042,3802,21,6,1,28
03/01/2023 19:03,8491,6395,169,7,6,182
03/02/2023 09:03,2636,2464,2,0,2,4
03/02/2023 14:03,1221,1071,10,0,0,10
03/02/2023 14:03,1715,1528,4,2,0,6
03/02/2023 15:03,9037,7090,92,12,8,112
03/03/2023 16:03,8641,7701,134,7,9,150
03/03/2023 17:03,3207,2967,8,0,2,10
02/20/2023 11:02,1952,1716,3,0,0,3
02/20/2023 11:02,1556,1351,3,0,0,3
02/20/2023 15:02,5256,4754,58,1,2,61
02/21/2023 09:02,8572,5179,53,3,4,60
02/21/2023 10:02,3151,2811,1,1,1,3
02/22/2023 12:02,11094,8261,218,1,6,225
02/23/2023 14:02,1960,1791,2,0,0,2
02/23/2023 14:02,2171,1865,3,0,1,4
02/24/2023 09:02,1863,1643,9,0,1,10
02/24/2023 10:02,1976,1751,4,2,2,81
02/24/2023 10:02,1825,1528,5,0,1,6
02/24/2023 10:02,2179,1833,3,0,1,4
02/24/2023 17:02,2719,2382,10,0,1,11
02/24/2023 19:02,4917,3504,134,18,18,170
02/26/2023 10:02,1812,1533,6,1,0,7
01/30/2023 12:01,2355,2113,16,0,0,16
01/30/2023 17:01,4741,4291,20,5,9,34
01/30/2023 20:01,19756,12934,232,8,15,255
02/01/2023 08:02,1298,1091,0,0,0,0
02/01/2023 08:02,5480,5014,18,9,0,27
02/01/2023 08:02,4373,3642,20,2,9,31
02/01/2023 09:02,1804,1420,3,0,0,3
02/01/2023 09:02,3714,2929,14,1,8,23
02/01/2023 15:02,4548,3961,12,1,1,14
02/01/2023 15:02,6701,5245,24,9,17,50
02/01/2023 15:02,3180,2594,18,1,0,19
02/02/2023 16:02,1949,1524,8,0,0,8
02/03/2023 17:02,7455,5921,17,11,5,33
02/07/2023 08:02,1147,961,1,0,0,1
02/07/2023 09:02,1795,1591,4,0,0,4
02/07/2023 09:02,1609,1305,4,0,2,6
02/07/2023 09:02,3867,3477,9,4,3,16
02/07/2023 10:02,2010,1775,7,0,0,7
02/07/2023 12:02,6221,4597,25,0,0,25
02/08/2023 09:02,1882,1646,6,0,0,6
02/08/2023 09:02,2608,2234,5,1,3,9
02/08/2023 09:02,3414,2896,23,0,9,32
02/08/2023 11:02,3586,3090,6,0,2,8
02/08/2023 14:02,14014,12613,170,52,14,236
02/08/2023 20:02,31642,20073,203,24,23,250
02/10/2023 09:02,1582,1267,4,0,0,4
02/10/2023 10:02,3481,2993,12,5,1,18
02/10/2023 17:02,3278,2843,27,2,5,34
02/11/2023 20:02,3610,3154,75,1,4,80
02/13/2023 09:02,6896,6523,142,13,2,157
02/13/2023 09:02,2903,2707,17,0,1,18
02/13/2023 12:02,3265,2929,6,1,0,7
02/13/2023 16:02,1821,1426,49,0,3,52
02/13/2023 19:02,9359,7368,60,8,3,71
02/13/2023 22:02,10092,9178,354,50,16,420
02/14/2023 12:02,2592,2294,6,0,0,61
02/14/2023 17:02,4219,3827,80,1,2,83
02/16/2023 09:02,1494,1223,8,0,0,8
02/16/2023 15:02,3902,3370,14,0,1,15
02/16/2023 17:02,3921,3515,3,1,2,6
02/17/2023 10:02,1301,1127,8,0,0,8
02/17/2023 13:02,2612,2240,6,2,0,8
02/17/2023 13:02,5021,4382,16,3,0,19
02/17/2023 16:02,10095,8531,264,22,8,294
02/18/2023 10:02,11889,10075,140,5,4,149
01/02/2023 09:01,9118,6671,30,4,7,41
01/03/2023 15:01,3193,2273,0,1,0,1
01/06/2023 13:01,3012,2255,14,0,0,14
01/11/2023 10:01,6355,5408,16,4,3,23
01/11/2023 11:01,2480,1967,0,0,0,0
01/12/2023 09:01,4231,3499,20,0,1,21
01/13/2023 13:01,4679,3941,8,0,1,9
01/13/2023 15:01,10951,7620,91,6,1,98
01/16/2023 18:01,2489,1917,29,0,1,30
01/17/2023 09:01,2196,1823,0,0,0,0
01/17/2023 10:01,6016,5169,93,3,1,97
01/19/2023 10:01,6475,5518,113,6,1,120
01/19/2023 11:01,2179,1813,7,0,0,7
01/19/2023 15:01,7825,6677,121,34,2,157
01/23/2023 10:01,1687,1452,6,1,0,7
